Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
2,36052,0,21075,0.7,0
3,34345,0.95,25873,1.23,13816
4,33930,0.99,25330,0.98,8518
5,34759,1.02,25650,1.01,9217
6,35187,1.01,26341,1.03,9674
7,37358,1.06,27438,1.04,10351
8,35721,0.96,27227,0.99,9425
9,34919,0.98,26748,0.98,8755
10,34376,0.98,25892,0.97,8329
11,34681,1.01,26019,1,9319
12,32415,0.93,25238,0.97,8123
13,32754,1.01,24713,0.98,7982
14,32904,1,24871,1.01,8870
15,34538,1.05,25862,1.04,9730
16,34403,1,25643,0.99,8693
17,35167,1.02,26299,1.03,9784
18,35239,1,26405,1,9315
19,35338,1,26415,1,9160
20,35345,1,26886,1.02,9737
21,36319,1.03,27104,1.01,9389
22,37051,1.02,27510,1.01,9731
23,37924,1.02,28225,1.03,10443
24,38204,1.01,28715,1.02,10396
25,39500,1.03,28804,1,10119
26,40658,1.03,29858,1.04,11203
27,41223,1.01,30675,1.03,11438
28,40390,0.98,30482,0.99,10370
29,42042,1.04,31124,1.02,11360
30,41065,0.98,30403,0.98,10039
31,40166,0.98,30454,1,10603
2,35281,0,21130,0.7,0
3,32026,0.91,24222,1.15,11926
4,32865,1.03,24249,1,8571
5,33876,1.03,25078,1.03,9407
6,34776,1.03,25545,1.02,9387
7,35054,1.01,26592,1.04,10078
8,34748,0.99,26028,0.98,8616
9,34685,1,25916,1,8990
10,33297,0.96,25637,0.99,8578
11,32390,0.97,24692,0.96,7916
12,30992,0.96,23988,0.97,7584
13,31313,1.01,23649,0.99,7844
14,32106,1.03,24384,1.03,8793
15,33433,1.04,24872,1.02,8962
16,34969,1.05,26092,1.05,9943
17,35053,1,26286,1.01,9330
18,35915,1.02,26971,1.03,10165
19,37429,1.04,27670,1.03,10068
20,36425,0.97,27919,1.01,10040
21,37214,1.02,27555,0.99,9238
22,37055,1,27920,1.01,10001
23,39171,1.06,28646,1.03,10284
24,39369,1.01,29110,1.02,10656
25,40065,1.02,29875,1.03,10957
26,40499,1.01,30273,1.01,10905
27,41533,1.03,30252,1,10473
28,40150,0.97,30537,1.01,10926
29,40414,1.01,29666,0.97,9713
30,41714,1.03,30274,1.02,11109
31,41752,1,30960,1.02,11426
2,35923,0,21325,0.71,0
3,34475,0.96,26259,1.23,14089
4,34664,1.01,25854,0.98,8388
5,36025,1.04,26456,1.02,9707
6,36054,1,26883,1.02,9696
7,38076,1.06,28243,1.05,10872
8,36898,0.97,27710,0.98,9377
9,35090,0.95,26765,0.97,8528
10,34411,0.98,26054,0.97,8490
11,32263,0.94,24964,0.96,7855
12,31292,0.97,24354,0.98,7794
13,31055,0.99,23746,0.98,7583
14,32142,1.04,24013,1.01,8549
15,32898,1.02,24796,1.03,9105
16,32900,1,24764,1,8512
17,33852,1.03,25275,1.02,9150
18,35135,1.04,26212,1.04,9841
19,35764,1.02,26642,1.02,9556
20,37909,1.06,27957,1.05,10519
21,39520,1.04,29478,1.05,11347
22,39584,1,29673,1.01,10385
23,39786,1.01,29876,1.01,10423
24,40332,1.01,30296,1.01,10762
25,38571,0.96,29737,0.98,9944
26,40983,1.06,30209,1.02,10577
27,39757,0.97,30337,1,10771
28,41801,1.05,30530,1.01,10495
29,42710,1.02,31399,1.03,11609
30,43820,1.03,32520,1.04,12249
31,43082,0.98,32448,1,11109
2,40500,0,21237,0.7,0
3,36747,0.91,27922,1.31,16499
4,37153,1.01,28100,1.01,9832
5,37377,1.01,28170,1,9876
6,38073,1.02,28643,1.02,10107
7,38279,1.01,29017,1.01,10243
8,38846,1.01,28473,0.98,9641
9,39270,1.01,28873,1.01,10451
10,38587,0.98,28600,0.99,9909
11,36228,0.94,27848,0.97,9160
12,33891,0.94,26275,0.94,7732
13,34424,1.02,25728,0.98,8495
14,34320,1,26354,1.02,9516
15,34560,1.01,25876,0.98,8524
16,35819,1.04,26651,1.03,9954
17,35813,1,26222,0.98,8894
18,35232,0.98,26245,1,9330
19,36143,1.03,27033,1.03,10018
20,37724,1.04,27799,1.03,10380
21,37266,0.99,28010,1.01,10081
22,37625,1.01,28212,1.01,9878
23,37330,0.99,27993,0.99,9667
24,38777,1.04,28642,1.02,10472
25,38959,1,28951,1.01,10361
26,40139,1.03,29768,1.03,11057
27,40609,1.01,30326,1.02,11043
28,40197,0.99,30059,0.99,10161
29,42172,1.05,31319,1.04,11769
30,41403,0.98,30971,0.99,10497
31,40549,0.98,30800,0.99,10417
2,36728,0,21253,0.71,0
3,35304,0.96,26746,1.26,14602
4,36710,1.04,27173,1.02,9602
5,36769,1,27404,1.01,9800
6,38010,1.03,28254,1.03,10581
7,38462,1.01,28578,1.01,10113
8,38057,0.99,29034,1.02,10391
9,36133,0.95,27587,0.95,8354
10,36211,1,27126,0.98,8972
11,34933,0.96,26515,0.98,8873
12,33161,0.95,25591,0.97,7919
13,32592,0.98,24933,0.97,8070
14,32707,1,24645,0.99,8254
15,34126,1.04,25078,1.02,9241
16,35273,1.03,26115,1.04,9815
17,37406,1.06,27399,1.05,10499
18,37005,0.99,27989,1.02,10316
19,37825,1.02,28597,1.02,10233
20,38122,1.01,28649,1,9910
21,39485,1.04,29476,1.03,10691
22,41157,1.04,30174,1.02,10985
23,41115,1,30239,1,10631
24,40606,0.99,30383,1,10650
25,40956,1.01,30204,0.99,10390
26,39532,0.97,29935,0.99,10162
27,38510,0.97,29521,0.99,9778
28,39956,1.04,29340,0.99,9883
29,41107,1.03,30390,1.04,11431
30,41144,1,30833,1.01,11054
31,41425,1.01,31047,1.01,11000
2,39167,0,21521,0.7,0
3,35028,0.89,26912,1.25,14991
4,35299,1.01,26979,1,9184
5,35410,1,26372,0.98,8777
6,34726,0.98,26136,0.99,8896
7,35102,1.01,26696,1.02,9767
8,36129,1.03,26836,1.01,9450
9,35589,0.99,26881,1,9313
10,35486,1,26530,0.99,8855
11,33961,0.96,25980,0.98,8691
12,31638,0.93,24401,0.94,7181
13,31998,1.01,24401,1,8254
14,32086,1,23947,0.98,8033
15,33781,1.05,24968,1.04,9524
16,33808,1,25679,1.03,9646
17,33813,1,25496,0.99,8620
18,34521,1.02,26006,1.02,9265
19,35781,1.04,26581,1.02,9586
20,35671,1,27032,1.02,9745
21,38534,1.08,28037,1.04,10380
22,38407,1,28971,1.03,10892
23,39833,1.04,29610,1.02,10630
24,38361,0.96,28616,0.97,9368
25,37168,0.97,28570,1,9822
26,38412,1.03,28446,1,9726
27,39595,1.03,29397,1.03,11040
28,39485,1,29253,1,10113
29,40596,1.03,29443,1.01,10377
30,41038,1.01,30142,1.02,11173
31,40706,0.99,30607,1.02,11075
2,36402,0,21070,0.7,0
3,34192,0.94,26051,1.24,14067
4,34275,1,25912,0.99,8792
5,35341,1.03,26050,1.01,9171
6,35474,1,26731,1.03,10013
7,35706,1.01,26604,1,9111
8,34686,0.97,26106,0.98,8618
9,33111,0.95,25591,0.98,8405
10,33719,1.02,24949,0.97,8048
11,32381,0.96,24630,0.99,8513
12,30671,0.95,23792,0.97,7614
13,29574,0.96,22582,0.95,6749
14,30115,1.02,22936,1.02,8130
15,31202,1.04,23408,1.02,8168
16,31709,1.02,23822,1.02,8536
17,31727,1,24118,1.01,8539
18,32363,1.02,24254,1.01,8504
19,33294,1.03,24724,1.02,9029
20,34521,1.04,25790,1.04,9775
21,35755,1.04,26145,1.01,9339
22,37252,1.04,27538,1.05,10633
23,37509,1.01,27722,1.01,9985
24,38450,1.03,28386,1.02,10448
25,39052,1.02,28821,1.02,10306
26,37356,0.96,28375,0.98,9692
27,38124,1.02,28122,0.99,9687
28,36776,0.96,27947,0.99,9678
29,36939,1,27689,0.99,9369
30,39884,1.08,29253,1.06,11325
31,41347,1.04,30352,1.04,11467
2,35741,0,21175,0.7,0
3,33417,0.93,25254,1.19,13068
4,33643,1.01,25388,1.01,8786
5,33101,0.98,25012,0.99,8372
6,32903,0.99,24970,1,8623
7,34054,1.03,25344,1.01,9058
8,34679,1.02,25767,1.02,9255
9,34103,0.98,25864,1,9111
10,33068,0.97,24884,0.96,7755
11,31705,0.96,24339,0.98,8153
12,30324,0.96,23377,0.96,7142
13,30178,1,22938,0.98,7680
14,29550,0.98,22453,0.98,7564
15,31124,1.05,23110,1.03,8499
16,30670,0.99,23293,1.01,8223
17,30923,1.01,23441,1.01,8152
18,32070,1.04,24062,1.03,8819
19,32889,1.03,24492,1.02,8815
20,32513,0.99,24678,1.01,8623
21,34632,1.07,25870,1.05,9856
22,35800,1.03,26353,1.02,9527
23,37194,1.04,27922,1.06,10940
24,37322,1,27930,1,9649
25,38058,1.02,28172,1.01,10089
26,38738,1.02,28824,1.02,10535
27,39813,1.03,29261,1.02,10650
28,39842,1,29939,1.02,10878
29,39877,1,29350,0.98,9850
30,38322,0.96,28571,0.97,9446
31,39720,1.04,29546,1.03,11059
2,36842,0,21273,0.7,0
3,34227,0.93,26388,1.24,14144
4,35060,1.02,26137,0.99,8744
5,36343,1.04,26942,1.03,10042
6,37160,1.02,27514,1.02,9955
7,36440,0.98,27566,1,9674
8,36399,1,27521,1,9430
9,36427,1,27292,0.99,9469
10,35898,0.99,27307,1,9472
11,36771,1.02,27592,1.01,9693
12,35065,0.95,27085,0.98,8997
13,33662,0.96,25810,0.95,7877
14,33012,0.98,25148,0.97,8093
15,32780,0.99,24853,0.99,8204
16,33716,1.03,25243,1.02,8975
17,33610,1,25708,1.02,9078
18,35049,1.04,26106,1.02,9410
19,35779,1.02,26814,1.03,9919
20,37504,1.05,27999,1.04,10472
21,37423,1,27971,1,9639
22,37955,1.01,28460,1.02,10283
23,37677,0.99,28098,0.99,9639
24,38228,1.01,28667,1.02,10317
25,40144,1.05,29830,1.04,11172
26,40989,1.02,30322,1.02,10841
27,40324,0.98,30427,1,10810
28,41967,1.04,30513,1,10592
29,41904,1,31098,1.02,11424
30,41678,0.99,31095,1,10783
31,41712,1,31809,1.02,11451
2,36885,0,21558,0.71,0
3,34576,0.94,26244,1.22,13763
4,34837,1.01,25882,0.99,8615
5,34900,1,26146,1.01,9302
6,34892,1,26482,1.01,9340
7,36546,1.05,26784,1.01,9411
8,36018,0.99,27051,1.01,9747
9,34909,0.97,26499,0.98,8890
10,34662,0.99,25806,0.97,8336
11,33581,0.97,25491,0.99,8738
12,32992,0.98,24808,0.97,8183
13,31956,0.97,24333,0.98,7991
14,32886,1.03,24289,1,8449
15,34118,1.04,25248,1.04,9438
16,34045,1,25440,1.01,9252
17,34917,1.03,26273,1.03,9673
18,35666,1.02,26815,1.02,9740
19,36553,1.02,27196,1.01,9642
20,37468,1.03,27999,1.03,10331
21,37679,1.01,27871,1,9675
22,37562,1,28358,1.02,10382
23,38876,1.03,28768,1.01,10241
24,39689,1.02,29543,1.03,10923
25,39136,0.99,29334,0.99,10007
26,38726,0.99,29050,0.99,9783
27,38402,0.99,28621,0.99,9650
28,37746,0.98,28480,1,9807
29,38594,1.02,28483,1,10001
30,38786,1,29176,1.02,10540
31,41136,1.06,30071,1.03,10966
2,38870,0,21671,0.7,0
3,35600,0.92,27000,1.25,14813
4,36918,1.04,27130,1,9578
5,36609,0.99,27581,1.02,9982
6,37672,1.03,27894,1.01,9771
7,37237,0.99,28019,1,9745
8,36726,0.99,27977,1,9463
9,35123,0.96,26955,0.96,8436
10,34015,0.97,26000,0.96,8222
11,32187,0.95,24710,0.95,7571
12,30152,0.94,23265,0.94,6898
13,30984,1.03,23348,1,8063
14,31901,1.03,23802,1.02,8655
15,31813,1,23907,1,8467
16,32300,1.02,24264,1.01,8733
17,32681,1.01,24788,1.02,9047
18,33462,1.02,25129,1.01,8866
19,34149,1.02,25759,1.03,9360
20,35552,1.04,26318,1.02,9468
21,36351,1.02,27288,1.04,10238
22,38101,1.05,28140,1.03,10548
23,40481,1.06,29682,1.05,11437
24,40337,1,30000,1.01,10730
25,40353,1,30237,1.01,10799
26,41787,1.04,30470,1.01,10803
27,40353,0.97,30624,1.01,10874
28,41076,1.02,30674,1,10525
29,41960,1.02,31546,1.03,11519
30,41378,0.99,30782,0.98,9964
31,40713,0.98,30583,0.99,10626
2,36185,0,21029,0.7,0
3,34549,0.95,26091,1.24,14102
4,34168,0.99,25824,0.99,8718
5,35940,1.05,26294,1.02,9630
6,36069,1,27420,1.04,10363
7,37922,1.05,27961,1.02,10134
8,38146,1.01,28569,1.02,10393
9,37822,0.99,28628,1,9977
10,36212,0.96,27658,0.97,8894
11,34623,0.96,26656,0.96,8546
12,33588,0.97,25700,0.96,8228
13,33301,0.99,24838,0.97,7922
14,32481,0.98,24543,0.99,8304
15,33583,1.03,25016,1.02,8858
16,35643,1.06,26153,1.05,9993
17,36291,1.02,26966,1.03,9962
18,37990,1.05,28007,1.04,10418
19,39127,1.03,29068,1.04,10983
20,39524,1.01,29358,1.01,10298
21,38563,0.98,28845,0.98,9800
22,39997,1.04,29874,1.04,11174
23,39472,0.99,29843,1,10369
24,40545,1.03,30149,1.01,10555
25,39881,0.98,29785,0.99,10245
26,40091,1.01,29602,0.99,10229
27,41423,1.03,30445,1.03,11202
28,40059,0.97,30152,0.99,10432
29,38846,0.97,29406,0.98,9646
30,38851,1,29105,0.99,9668
31,39686,1.02,29492,1.01,10515
2,37995,0,21538,0.7,0
3,35431,0.93,26875,1.25,14725
4,34050,0.96,26019,0.97,8257
5,34519,1.01,25893,1,8811
6,34691,1,26250,1.01,9553
7,36878,1.06,27076,1.03,9967
8,36316,0.98,27621,1.02,10117
9,35057,0.97,26511,0.96,8345
10,33046,0.94,25678,0.97,8107
11,32456,0.98,24736,0.96,7686
12,31862,0.98,24118,0.98,7808
13,31332,0.98,23607,0.98,7776
14,30708,0.98,23557,1,8131
15,30957,1.01,23242,0.99,7699
16,30238,0.98,23061,0.99,7847
17,30121,1,22994,1,7854
18,30243,1,22753,0.99,7653
19,31162,1.03,23258,1.02,8536
20,31752,1.02,23549,1.01,8459
21,34280,1.08,25238,1.07,9868
22,35901,1.05,26358,1.04,10045
23,36258,1.01,27032,1.03,10052
24,37186,1.03,27663,1.02,10203
25,37825,1.02,28503,1.03,10409
26,39190,1.04,29112,1.02,10608
27,38507,0.98,28997,1,10217
28,41043,1.07,30044,1.04,11100
29,39840,0.97,29927,1,10316
30,39581,0.99,29139,0.97,9596
31,41061,1.04,30103,1.03,11439
2,37612,0,21553,0.7,0
3,35094,0.93,26584,1.23,14410
4,35837,1.02,26807,1.01,9410
5,36741,1.03,27527,1.03,10104
6,37365,1.02,27757,1.01,9981
7,37847,1.01,28432,1.02,10422
8,37968,1,28339,1,9741
9,36948,0.97,27643,0.98,9049
10,36055,0.98,27359,0.99,9372
11,33541,0.93,26163,0.96,7929
12,33306,0.99,25111,0.96,7785
13,33130,0.99,24889,0.99,8562
14,32162,0.97,24586,0.99,8332
15,31782,0.99,24150,0.98,8098
16,32902,1.04,24476,1.01,8621
17,33816,1.03,25285,1.03,9442
18,35740,1.06,26223,1.04,10016
19,35574,1,26998,1.03,10032
20,36052,1.01,27152,1.01,9478
21,38879,1.08,27996,1.03,10277
22,38807,1,28995,1.04,11131
23,38457,0.99,29036,1,10033
24,39631,1.03,29267,1.01,10252
25,41021,1.04,30304,1.04,11427
26,40324,0.98,30512,1.01,10849
27,40110,0.99,30402,1,10562
28,39898,0.99,30145,0.99,10157
29,41790,1.05,30740,1.02,11046
30,41288,0.99,30568,0.99,10574
31,42346,1.03,31232,1.02,11443
2,34897,0,21083,0.7,0
3,34241,0.98,25650,1.22,13420
4,34450,1.01,26253,1.02,9677
5,35964,1.04,26413,1.01,9157
6,35850,1,26683,1.01,9621
7,36248,1.01,27367,1.03,10024
8,36178,1,27420,1,9537
9,34856,0.96,26494,0.97,8625
10,34899,1,26109,0.99,8722
